repo,sha,author,date,message,url
JustDottie/covid19-react,e6ef6e6a2810c26fc2db4d3fc0a1718897403218,Dot,2025-09-14T00:53:05.000+02:00,Merge pull request #2 from JustDottie/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/JustDottie/covid19-react/commit/e6ef6e6a2810c26fc2db4d3fc0a1718897403218
Combatd/dev_portfolio_page,eccb170760a86a076864df0b6b7b0ee412ea2251,dependabot[bot],2025-09-19T07:09:00.000Z,Bump semver and node-sass in /starter-stuff,https://github.com/Combatd/dev_portfolio_page/commit/eccb170760a86a076864df0b6b7b0ee412ea2251
weni-ai/bulk_send,db90bb78ccc6650aefa3a8a5bd4389e7020c6061,Paulo Bernardo,2025-08-20T13:27:29.000-03:00,Merge pull request #32 from weni-ai/fix/remove-node-sass,https://github.com/weni-ai/bulk_send/commit/db90bb78ccc6650aefa3a8a5bd4389e7020c6061
noyama-duo/homebrew-core,1ed4fb6f40d94bebf2040d682cdf609f72184e11,Sam Ford,2025-09-19T21:29:49.000-04:00,node-sass 1.93.0,https://github.com/noyama-duo/homebrew-core/commit/1ed4fb6f40d94bebf2040d682cdf609f72184e11
ipatch/homebrew-core-catalina,2d2103a8171ce79cfb03b309f7354427d5d710aa,BrewTestBot,2025-08-05T23:46:45.000Z,Merge pull request #232483 from Homebrew/bump-node-sass-1.90.0,https://github.com/ipatch/homebrew-core-catalina/commit/2d2103a8171ce79cfb03b309f7354427d5d710aa
matt94nanari/Easy,c98e83a884a049d87814e8a5acb0e1818df38902,matt94nanari,2025-09-05T14:03:37.000+08:00,remove node-sass,https://github.com/matt94nanari/Easy/commit/c98e83a884a049d87814e8a5acb0e1818df38902
ChainSafe/simpleserialize.com,799d2f3d4c2a8fb891e197c1628d0575a2d47c3e,dependabot[bot],2022-05-04T17:00:06.000+02:00,Bump node-sass from 6.0.1 to 7.0.0 in /packages/simpleserialize.com (#232),https://github.com/ChainSafe/simpleserialize.com/commit/799d2f3d4c2a8fb891e197c1628d0575a2d47c3e
bocaletto-luca/LPM,846c75b25beefdb39da89eb4ba61940ddb0330bf,bocaletto-luca,2025-10-03T11:29:03.000+02:00,Aggiunto: amd64/javascript/node-node-sass.html,https://github.com/bocaletto-luca/LPM/commit/846c75b25beefdb39da89eb4ba61940ddb0330bf
davisbradleyj/my-class-repo,fef6de58217d389c49a849c5e6af055a60d6e6b3,dependabot[bot],2025-09-11T15:14:35.000Z,Bump cross-spawn and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/fef6de58217d389c49a849c5e6af055a60d6e6b3
davisbradleyj/my-class-repo,353dcb2f4eff9ca66d9b9092ba699ecd08475333,dependabot[bot],2025-09-11T15:13:57.000Z,Bump semver and node-sass,https://github.com/davisbradleyj/my-class-repo/commit/353dcb2f4eff9ca66d9b9092ba699ecd08475333
