full_name,html_url,downloads_url,created_at,updated_at,stargazers_count,language,has_issues,has_projects,has_downloads,forks_count,archived,disabled,open_issues_count,default_branch,subscribers_count,organization/type,commits_count,contr_count
ember-learn/ember-api-docs,https://github.com/ember-learn/ember-api-docs,https://api.github.com/repos/ember-learn/ember-api-docs/downloads,2015-12-07 15:20:14+00:00,2025-09-16 19:49:24+00:00,74.0,JavaScript,True,True,True,112.0,False,False,58.0,main,15.0,Organization,1335.0,30
asmdip12/Mission-Parivartan-3,https://github.com/asmdip12/Mission-Parivartan-3,https://api.github.com/repos/asmdip12/Mission-Parivartan-3/downloads,2025-08-06 18:05:02+00:00,2025-08-24 07:44:14+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,20.0,1
sonalashr/fsl-develops-challenge,https://github.com/sonalashr/fsl-develops-challenge,https://api.github.com/repos/sonalashr/fsl-develops-challenge/downloads,2025-09-08 16:59:40+00:00,2025-09-09 18:04:24+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,devel,0.0,,39.0,1
NathanScott85/imperatus-accounting,https://github.com/NathanScott85/imperatus-accounting,https://api.github.com/repos/NathanScott85/imperatus-accounting/downloads,2025-09-05 20:06:55+00:00,2025-09-14 14:15:06+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,0.0,,32.0,2
fredLamonica/smarkets-small,https://github.com/fredLamonica/smarkets-small,https://api.github.com/repos/fredLamonica/smarkets-small/downloads,2025-09-10 16:34:22+00:00,2025-09-10 17:32:04+00:00,0.0,HTML,True,True,True,0.0,False,False,0.0,main,0.0,,12.0,2
PraisesAmaiyo/Apex-Analytics-Limited,https://github.com/PraisesAmaiyo/Apex-Analytics-Limited,https://api.github.com/repos/PraisesAmaiyo/Apex-Analytics-Limited/downloads,2025-08-16 12:55:35+00:00,2025-10-09 10:40:08+00:00,0.0,HTML,True,True,True,0.0,False,False,0.0,main,0.0,,56.0,1
alfahami/html-css-sass,https://github.com/alfahami/html-css-sass,https://api.github.com/repos/alfahami/html-css-sass/downloads,2019-12-21 18:20:46+00:00,2025-07-29 11:00:24+00:00,3.0,HTML,True,True,True,0.0,False,False,3.0,master,1.0,,57.0,2
ZuzanaOchmanova/my-static-web-app-and-api,https://github.com/ZuzanaOchmanova/my-static-web-app-and-api,https://api.github.com/repos/ZuzanaOchmanova/my-static-web-app-and-api/downloads,2025-08-18 20:41:45+00:00,2025-08-18 22:45:51+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,10.0,1
apache/atlas,https://github.com/apache/atlas,https://api.github.com/repos/apache/atlas/downloads,2017-07-22 07:00:08+00:00,2025-11-10 02:44:48+00:00,2021.0,Java,False,True,True,898.0,False,False,102.0,master,72.0,Organization,4021.0,30
funmaker/JanuszV2,https://github.com/funmaker/JanuszV2,https://api.github.com/repos/funmaker/JanuszV2/downloads,2018-02-28 15:28:11+00:00,2025-09-30 01:25:20+00:00,4.0,JavaScript,True,True,True,1.0,False,False,0.0,master,1.0,,164.0,2
gladielf/vue-svg-chart,https://github.com/gladielf/vue-svg-chart,https://api.github.com/repos/gladielf/vue-svg-chart/downloads,2019-05-02 17:53:28+00:00,2025-08-21 16:15:36+00:00,0.0,Vue,True,True,True,0.0,False,False,1.0,master,1.0,,65.0,2
ThebellepoquE/PortfoliO,https://github.com/ThebellepoquE/PortfoliO,https://api.github.com/repos/ThebellepoquE/PortfoliO/downloads,2025-07-22 19:18:19+00:00,2025-09-03 13:57:03+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,18.0,1
davidmarsden/top100-archive,https://github.com/davidmarsden/top100-archive,https://api.github.com/repos/davidmarsden/top100-archive/downloads,2025-08-21 16:39:41+00:00,2025-08-30 17:58:57+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,128.0,1
MariaGrom/zoomath,https://github.com/MariaGrom/zoomath,https://api.github.com/repos/MariaGrom/zoomath/downloads,2023-04-02 15:03:46+00:00,2025-10-18 14:35:13+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,1.0,,50.0,1
Kalte-Luft/GPFront-End,https://github.com/Kalte-Luft/GPFront-End,https://api.github.com/repos/Kalte-Luft/GPFront-End/downloads,2024-11-12 14:49:40+00:00,2025-08-20 02:38:53+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,1.0,,95.0,4
DrumBeatRhythm/science,https://github.com/DrumBeatRhythm/science,https://api.github.com/repos/DrumBeatRhythm/science/downloads,2025-07-25 01:56:48+00:00,2025-07-26 12:07:49+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,0.0,,77.0,1
mjaquiery/philosophyofshakespeare,https://github.com/mjaquiery/philosophyofshakespeare,https://api.github.com/repos/mjaquiery/philosophyofshakespeare/downloads,2023-06-21 20:23:38+00:00,2025-06-16 08:31:18+00:00,0.0,SCSS,True,True,True,0.0,False,False,9.0,main,1.0,,92.0,3
winnydejong/ahomk,https://github.com/winnydejong/ahomk,https://api.github.com/repos/winnydejong/ahomk/downloads,2019-04-18 01:46:15+00:00,2025-10-17 14:10:29+00:00,0.0,CSS,True,True,True,0.0,False,False,0.0,master,1.0,,490.0,2
Kuaruou/Ecom-Vintage,https://github.com/Kuaruou/Ecom-Vintage,https://api.github.com/repos/Kuaruou/Ecom-Vintage/downloads,2019-12-25 10:23:29+00:00,2025-10-03 12:06:27+00:00,0.0,Vue,True,True,True,0.0,False,False,7.0,master,1.0,,160.0,2
AkberIqbal/meret,https://github.com/AkberIqbal/meret,https://api.github.com/repos/AkberIqbal/meret/downloads,2020-02-08 20:30:35+00:00,2025-09-12 21:43:31+00:00,0.0,JavaScript,False,True,True,0.0,False,False,7.0,master,1.0,,15.0,2
denblackstache/cades-kit,https://github.com/denblackstache/cades-kit,https://api.github.com/repos/denblackstache/cades-kit/downloads,2017-03-20 11:19:39+00:00,2025-09-28 19:39:36+00:00,1.0,JavaScript,True,False,True,0.0,False,False,1.0,master,1.0,,29.0,2
moetezch/moetez.me,https://github.com/moetezch/moetez.me,https://api.github.com/repos/moetezch/moetez.me/downloads,2018-07-03 18:41:21+00:00,2025-08-25 06:43:53+00:00,9.0,JavaScript,True,True,True,2.0,False,False,8.0,master,0.0,,68.0,2
carnalito80/clubpig,https://github.com/carnalito80/clubpig,https://api.github.com/repos/carnalito80/clubpig/downloads,2022-12-01 13:58:44+00:00,2025-10-21 08:37:37+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,37.0,2
ToxicNinja12/trillo,https://github.com/ToxicNinja12/trillo,https://api.github.com/repos/ToxicNinja12/trillo/downloads,2025-10-18 06:43:10+00:00,2025-11-08 02:01:40+00:00,0.0,SCSS,True,True,True,0.0,False,False,0.0,master,0.0,,22.0,1
jrcichra/rpi-ip-webcam,https://github.com/jrcichra/rpi-ip-webcam,https://api.github.com/repos/jrcichra/rpi-ip-webcam/downloads,2020-11-29 18:26:13+00:00,2025-10-21 11:30:17+00:00,0.0,Vue,True,True,True,0.0,False,False,0.0,main,1.0,,49.0,3
noyama-duo/homebrew-core,https://github.com/noyama-duo/homebrew-core,https://api.github.com/repos/noyama-duo/homebrew-core/downloads,2025-10-15 17:50:23+00:00,2025-10-15 18:34:47+00:00,0.0,Ruby,True,True,True,0.0,False,False,0.0,bump-syft-1.34.1,0.0,,702054.0,30
PaystackHQ/nigerialogos,https://github.com/PaystackHQ/nigerialogos,https://api.github.com/repos/PaystackHQ/nigerialogos/downloads,2019-01-14 17:32:03+00:00,2025-10-27 14:50:57+00:00,288.0,SCSS,True,True,True,266.0,False,False,3.0,master,19.0,Organization,702.0,30
zdawz/zach-and-haley-2021,https://github.com/zdawz/zach-and-haley-2021,https://api.github.com/repos/zdawz/zach-and-haley-2021/downloads,2020-10-31 02:58:52+00:00,2025-09-13 15:22:15+00:00,1.0,Vue,True,True,True,0.0,False,False,0.0,main,2.0,,297.0,3
wppconnect-team/wppconnect-manager,https://github.com/wppconnect-team/wppconnect-manager,https://api.github.com/repos/wppconnect-team/wppconnect-manager/downloads,2024-07-13 19:17:26+00:00,2025-09-30 02:03:45+00:00,3.0,CSS,True,True,True,2.0,False,False,11.0,main,4.0,Organization,18.0,3
sbush92/lawnbot,https://github.com/sbush92/lawnbot,https://api.github.com/repos/sbush92/lawnbot/downloads,2022-04-28 06:50:55+00:00,2025-10-24 00:34:08+00:00,0.0,SCSS,True,True,True,0.0,False,False,0.0,main,1.0,,50.0,5
germanyn/microfrontend-tutorial,https://github.com/germanyn/microfrontend-tutorial,https://api.github.com/repos/germanyn/microfrontend-tutorial/downloads,2022-03-12 23:58:20+00:00,2025-10-22 18:36:51+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,18.0,1
rauloliva/Blog-Creator,https://github.com/rauloliva/Blog-Creator,https://api.github.com/repos/rauloliva/Blog-Creator/downloads,2022-02-12 23:06:02+00:00,2025-09-24 05:37:51+00:00,0.0,JavaScript,True,True,True,0.0,False,False,0.0,main,1.0,,43.0,1
davisbradleyj/my-class-repo,https://github.com/davisbradleyj/my-class-repo,https://api.github.com/repos/davisbradleyj/my-class-repo/downloads,2020-03-09 21:15:03+00:00,2025-11-05 23:37:56+00:00,1.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,584.0,2
visheshc14/Mareux,https://github.com/visheshc14/Mareux,https://api.github.com/repos/visheshc14/Mareux/downloads,2022-11-09 07:30:59+00:00,2025-10-13 13:09:10+00:00,1.0,JavaScript,True,True,True,0.0,False,False,13.0,main,1.0,,25.0,1
farmanahmed2007/uik-framework,https://github.com/farmanahmed2007/uik-framework,https://api.github.com/repos/farmanahmed2007/uik-framework/downloads,2020-01-28 05:32:50+00:00,2025-09-23 04:26:43+00:00,0.0,SCSS,True,True,True,1.0,False,False,0.0,master,1.0,,49.0,3
gillescj/colour-builder,https://github.com/gillescj/colour-builder,https://api.github.com/repos/gillescj/colour-builder/downloads,2020-05-04 21:47:52+00:00,2025-10-14 00:09:53+00:00,0.0,JavaScript,True,True,True,0.0,False,False,12.0,master,1.0,,154.0,2
c00kiemon5ter/presentation-tnc19-identitypython-eduteams,https://github.com/c00kiemon5ter/presentation-tnc19-identitypython-eduteams,https://api.github.com/repos/c00kiemon5ter/presentation-tnc19-identitypython-eduteams/downloads,2019-06-09 22:41:27+00:00,2025-09-25 11:50:01+00:00,3.0,JavaScript,True,True,True,0.0,False,False,0.0,master,0.0,,2422.0,30
Kuaruou/Vuex-TodoList,https://github.com/Kuaruou/Vuex-TodoList,https://api.github.com/repos/Kuaruou/Vuex-TodoList/downloads,2020-01-21 10:26:07+00:00,2025-10-02 14:33:13+00:00,1.0,Vue,True,True,True,0.0,False,False,6.0,master,1.0,,157.0,2
faveosuite/faveo-client-form-pwa,https://github.com/faveosuite/faveo-client-form-pwa,https://api.github.com/repos/faveosuite/faveo-client-form-pwa/downloads,2021-08-13 04:47:10+00:00,2025-08-22 09:20:39+00:00,0.0,JavaScript,True,True,True,1.0,False,False,7.0,main,3.0,Organization,48.0,8
AvinashAnand02/SwetaPortfolio,https://github.com/AvinashAnand02/SwetaPortfolio,https://api.github.com/repos/AvinashAnand02/SwetaPortfolio/downloads,2024-01-26 15:24:30+00:00,2025-09-02 17:03:23+00:00,0.0,CSS,True,True,True,0.0,False,False,0.0,main,1.0,,15.0,2
anton-karlovskiy/joyn-ai,https://github.com/anton-karlovskiy/joyn-ai,https://api.github.com/repos/anton-karlovskiy/joyn-ai/downloads,2020-09-22 10:43:29+00:00,2025-10-04 18:59:05+00:00,1.0,JavaScript,True,True,True,0.0,False,False,0.0,master,1.0,,10.0,1
hefiw/Web_PrimalTraining,https://github.com/hefiw/Web_PrimalTraining,https://api.github.com/repos/hefiw/Web_PrimalTraining/downloads,2025-09-21 18:00:51+00:00,2025-10-06 08:38:37+00:00,0.0,CSS,True,True,True,0.0,False,False,0.0,main,0.0,,11.0,1
