repo,sha,author,date,message,url,stars,contributors,description,total_commits
ThebellepoquE/PortfoliO,a4bf8226ee63a366a08d895f740ca28ce0ec8a5d,ThebellepoquE,2025-09-03T13:24:37.000+02:00,🔧 Replace node-sass with sass for Netlify,https://github.com/ThebellepoquE/PortfoliO/commit/a4bf8226ee63a366a08d895f740ca28ce0ec8a5d,0.0,1.0,Creado con React,
davidmarsden/top100-archive,629423943e661113787dec95d54e000348da97d1,davidmarsden,2025-08-27T08:06:16.000Z,Fix build: replace node-sass with sass,https://github.com/davidmarsden/top100-archive/commit/629423943e661113787dec95d54e000348da97d1,0.0,1.0,25 Seasons • Google Sheets Database • Live Updates,128.0
MariaGrom/zoomath,43669ca61bba1b9229b5703b23018d4e436a4ff0,Maria Gromyko,2025-08-09T11:44:46.000+03:00,замена node-sass на sass,https://github.com/MariaGrom/zoomath/commit/43669ca61bba1b9229b5703b23018d4e436a4ff0,1.0,1.0,,50.0
Kalte-Luft/GPFront-End,768576644291d263cd3d81bceacd6c24ffa225a1,Nghia,2025-08-20T08:16:52.000+07:00,fix: replace node-sass with sass,https://github.com/Kalte-Luft/GPFront-End/commit/768576644291d263cd3d81bceacd6c24ffa225a1,0.0,1.0,,95.0
Homebrew/homebrew-core,a1675b8290d9f6b12dcaf6c2518222a4fa34e896,BrewTestBot,2025-08-25T23:49:37.000Z,node-sass: update 1.91.0 bottle.,https://github.com/Homebrew/homebrew-core/commit/a1675b8290d9f6b12dcaf6c2518222a4fa34e896,14674.0,1.0,🍻 Default formulae for the missing package manager for macOS (or Linux),693097.0
DrumBeatRhythm/science,f2f23edd4cb48af731fd677f68529198875ab8b3,DrumBeatRhythm,2025-07-28T16:11:06.000+08:00,node-sass rebuild,https://github.com/DrumBeatRhythm/science/commit/f2f23edd4cb48af731fd677f68529198875ab8b3,0.0,1.0,Student-run wiki for students interested in computer science at Cornell University,77.0
onokje/rocketfactory,cdf04d1181f02bc18e2c3830f14f74abd5e41a40,Martin Schimmel,2025-07-29T11:07:14.000+02:00,Merge pull request #5 from onokje/dependabot/npm_and_yarn/node-sass-7.0.0,https://github.com/onokje/rocketfactory/commit/cdf04d1181f02bc18e2c3830f14f74abd5e41a40,0.0,1.0,Webbased game written in react,100.0
hlsitechio/flexioapp,7a6e7f1186dd817f1c14128cdc2bc447a5e5ecfa,gpt-engineer-app[bot],2025-08-16T14:20:14.000Z,Fix: Resolve node-sass build error,https://github.com/hlsitechio/flexioapp/commit/7a6e7f1186dd817f1c14128cdc2bc447a5e5ecfa,0.0,1.0,,702.0
mjaquiery/philosophyofshakespeare,ab894de16e711b4e5ce07b4441733fad0c149782,dependabot[bot],2025-06-16T08:30:47.000Z,Bump tough-cookie and node-sass,https://github.com/mjaquiery/philosophyofshakespeare/commit/ab894de16e711b4e5ce07b4441733fad0c149782,0.0,1.0,Essays exploring the philosophy of Shakespeare.,92.0
winnydejong/ahomk,8abe2b077d9c3d2c13e3a76f985b2e50bd3b3ea1,dependabot[bot],2025-10-16T13:54:15.000Z,Bump form-data and node-sass,https://github.com/winnydejong/ahomk/commit/8abe2b077d9c3d2c13e3a76f985b2e50bd3b3ea1,,,,
Kuaruou/Ecom-Vintage,062438d49077e16fee12887eb4edc2f6eb15545b,dependabot[bot],2025-10-01T15:40:08.000Z,Bump form-data and node-sass,https://github.com/Kuaruou/Ecom-Vintage/commit/062438d49077e16fee12887eb4edc2f6eb15545b,,,,
